"price","mileage","year","model","date","origin","d2005","d2006","d2007","d2008","d2009","d2010","d2011","d2012","website_id","car_id"
6400,123664,"2006","Toyota Avalon XL",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
5992,214935,"2007","Toyota Avalon Touring",2021-01-28,"autotrader",0,0,1,0,0,0,0,0,1,3
6500,139994,"2006","Toyota Avalon XL",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
5995,142968,"2006","Toyota Avalon XLS",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
7995,129024,"2008","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,0,1,0,0,0,0,1,3
8999,132125,"2012","Toyota Avalon",2021-01-28,"autotrader",0,0,0,0,0,0,0,1,1,3
5996,156010,"2006","Toyota Avalon",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
7952,153392,"2009","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,0,0,1,0,0,0,1,3
9795,124144,"2011","Toyota Avalon",2021-01-28,"autotrader",0,0,0,0,0,0,1,0,1,3
10500,76542,"2008","Toyota Avalon",2021-01-28,"autotrader",0,0,0,1,0,0,0,0,1,3
11755,117550,"2012","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,0,0,0,0,0,1,1,3
14350,83473,"2012","Toyota Avalon",2021-01-28,"autotrader",0,0,0,0,0,0,0,1,1,3
11998,125375,"2011","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,0,0,0,0,1,0,1,3
6595,291465,"2006","Toyota Avalon XLS",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
5922,270418,"2006","Toyota Avalon",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
7995,103042,"2007","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,1,0,0,0,0,0,1,3
6990,117290,"2006","Toyota Avalon",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
8490,119868,"2010","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,0,0,0,1,0,0,1,3
9936,103975,"2009","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,0,0,1,0,0,0,1,3
8950,147000,"2012","Toyota Avalon",2021-01-28,"autotrader",0,0,0,0,0,0,0,1,1,3
7950,96545,"2012","Toyota Avalon XLE Touring",2021-01-28,"autotrader",0,0,0,0,0,0,0,1,1,3
8888,95572,"2007","Toyota Avalon XLS",2021-01-28,"autotrader",0,0,1,0,0,0,0,0,1,3
4500,239387,"2006","Toyota Avalon XL",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
8995,122510,"2010","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,0,0,0,1,0,0,1,3
4999,113432,"2007","Toyota Avalon",2021-01-28,"autotrader",0,0,1,0,0,0,0,0,1,3
4691,186879,"2005","Toyota Avalon Limited",2021-01-28,"autotrader",1,0,0,0,0,0,0,0,1,3
7995,74228,"2005","Toyota Avalon Limited",2021-01-28,"autotrader",1,0,0,0,0,0,0,0,1,3
11995,124512,"2012","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,0,0,0,0,0,1,1,3
5940,156832,"2006","Toyota Avalon Touring",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
7900,108751,"2005","Toyota Avalon XLS",2021-01-28,"autotrader",1,0,0,0,0,0,0,0,1,3
10995,39320,"2008","Toyota Avalon XL",2021-01-28,"autotrader",0,0,0,1,0,0,0,0,1,3
8495,101266,"2007","Toyota Avalon XLS",2021-01-28,"autotrader",0,0,1,0,0,0,0,0,1,3
6988,134000,"2007","Toyota Avalon Touring",2021-01-28,"autotrader",0,0,1,0,0,0,0,0,1,3
8982,94639,"2009","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,0,0,1,0,0,0,1,3
10491,139836,"2011","Toyota Avalon",2021-01-28,"autotrader",0,0,0,0,0,0,1,0,1,3
5759,156607,"2006","Toyota Avalon Limited",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
6995,95000,"2006","Toyota Avalon XLS",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
6761,129776,"2007","Toyota Avalon XLS",2021-01-28,"autotrader",0,0,1,0,0,0,0,0,1,3
9997,137260,"2006","Toyota Avalon XL",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
5595,242450,"2006","Toyota Avalon XL",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
14998,51101,"2012","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,0,0,0,0,0,1,1,3
7999,154996,"2008","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,0,1,0,0,0,0,1,3
8988,69297,"2006","Toyota Avalon XL",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
7495,97927,"2006","Toyota Avalon Touring",2021-01-28,"autotrader",0,1,0,0,0,0,0,0,1,3
6995,181779,"2008","Toyota Avalon",2021-01-28,"autotrader",0,0,0,1,0,0,0,0,1,3
11995,141500,"2012","Toyota Avalon Limited",2021-01-28,"autotrader",0,0,0,0,0,0,0,1,1,3
7495,117945,"2007","Toyota Avalon Touring",2021-01-28,"autotrader",0,0,1,0,0,0,0,0,1,3
10995,73628,"2005","Toyota Avalon XL",2021-01-28,"autotrader",1,0,0,0,0,0,0,0,1,3
8500,112048,"2005","Toyota Avalon Limited",2021-01-28,"autotrader",1,0,0,0,0,0,0,0,1,3
5995,142968,"2006","Toyota Avalon XLS",2021-01-28,"cars",0,1,0,0,0,0,0,0,2,3
7952,153392,"2009","Toyota Avalon Limited",2021-01-28,"cars",0,0,0,0,1,0,0,0,2,3
5922,270418,"2006","Toyota Avalon",2021-01-28,"cars",0,1,0,0,0,0,0,0,2,3
4691,186879,"2005","Toyota Avalon Limited",2021-01-28,"cars",1,0,0,0,0,0,0,0,2,3
6595,291465,"2006","Toyota Avalon XLS",2021-01-28,"cars",0,1,0,0,0,0,0,0,2,3
6999,164917,"2011","Toyota Avalon",2021-01-28,"cars",0,0,0,0,0,0,1,0,2,3
7695,79967,"2006","Toyota Avalon Limited",2021-01-28,"cars",0,1,0,0,0,0,0,0,2,3
6988,134000,"2007","Toyota Avalon Touring",2021-01-28,"cars",0,0,1,0,0,0,0,0,2,3
10298,60524,"2009","Toyota Avalon XLS",2021-01-28,"cars",0,0,0,0,1,0,0,0,2,3
14990,85458,"2012","Toyota Avalon Limited",2021-01-28,"cars",0,0,0,0,0,0,0,1,2,3
9795,124144,"2011","Toyota Avalon",2021-01-28,"cars",0,0,0,0,0,0,1,0,2,3
9995,117000,"2008","Toyota Avalon XL",2021-01-28,"cars",0,0,0,1,0,0,0,0,2,3
